,breed,summary,image,other_names,nicknames,origin,weight,height,coat,color,lifespan
473,Skye Terrier,"The Skye Terrier is a breed of dog that is a long, low, hardy terrier and ""one of the most endangered native dog breeds in the  United Kingdom"" according to The Kennel Club.

",https://upload.wikimedia.org/wikipedia/commons/6/61/Skye_terrier_800.jpg,,,Scotland,,,,,
474,Sloughi,"The Sloughi  (Berber language: oṣkay or occay) is a North African breed of dog, specifically a member of the sighthound family. It is found mainly in Morocco, which is responsible for the standard, and may be found in smaller numbers elsewhere in North Africa.

",https://upload.wikimedia.org/wikipedia/commons/1/18/Sloughi_sandcolor.jpg,Arabian Greyhound<br>Sloughi Moghrebi,,[[Morocco]]<small> ([[Breed standard (dogs)|Std]]. resp.)</small><br>[[Algeria]]<br>[[Tunisia]]<br>[[Libya]]<br>[[Egypt]],,,,,
475,Slovakian Rough-haired Pointer,"The Slovak Rough-haired Pointer is a recently recognized gundog breed developed after World War II in Slovakia.  It is known by many confusingly similar names in English, including:

Slovak Wirehaired Pointer
Slovak Pointing Griffon
Slovak Wirehaired Pointing Griffon 
Slovak Wirehaired Pointing DogDespite the nearly identical names, the SRHP is not the same as the Wirehaired Pointing Griffon, a smaller but similar breed with a slightly longer coat developed for essentially the same purposes by the Dutch and now most common in France.
In the original Slovak, the SRHP breed is known as the 

Slovensky Hrubosrsty Stavac (Ohar)
Slovenský Ohař Hrubosrstý In other languages, this breed is referred to as the 

Griffon d'arret Slovaque a Poil Dur
Slowakischer Rauhbart
Grifon de Muestra Eslovaco de Pelo DuroAt one point, the Slovaks who developed the breed asked the Weimaraner Club of Germany to recognize this dog under the name Rough-haired Weimaraner, but the request was rejected.

",https://upload.wikimedia.org/wikipedia/commons/7/7f/ICh_Brita_z_Ruzenice.jpg,"Slovensky Hrubosrsky Stavac (Ohar)<br>
(Slovenský hrubosrstý Stavač)<br>
(Slovenský Ohař Hrubosrstý)",,[[Slovakia]],,,,,
476,Slovak Cuvac,"The Slovak Cuvac is a Slovak breed of dog, bred for use as a livestock guard dog. This mountain dog—also known as Slovensky Cuvac, Slovak Chuvach, Tatransky Cuvac and Slovensky Kuvac—is closely related to the Hungarian Kuvasz. The alternate German and English spelling Tchouvatch reflects the pronunciation: chew-votch( čuvati - in serbocroatian language  - guarding) . The breed is recognised under sponsorship from Slovakia by the Fédération Cynologique Internationale with the name Slovenský čuvač. Despite the multiple renderings in English, these refer to only one breed. The United Kennel Club in the US uses the English version of the name Slovak Cuvac.",https://upload.wikimedia.org/wikipedia/commons/c/c6/Cuvac_1.jpg,"Slovak Cuvac, Slovak Chuvach, Tatransky Cuvac, Slovak tschuvatsch",,,{{convert|36|-|44|kg|lb|abbr|=|on}},62&ndash;70 cm (25&ndash;28 in),Medium length - thick and wavy,White,
477,Slovenský kopov,"The Slovenský kopov (translated into English as Slovakian Hound) is a medium-sized breed of hunting dog of the scenthound type. The breed originated in Slovakia, in Central Europe, and is bred for boar hunting.  The name Black Forest Hound seems to have been created in North America for marketing purposes, since the breed has no connection with the Black Forest.

",https://upload.wikimedia.org/wikipedia/commons/0/0b/Go%C5%84czy_s%C5%82owacki_pl.jpg,"Slovak Hound, Black Forest Hound",,Slovakia,,,,Black and Tan,
478,Smaland Hound,"The Smaland Hound (Swedish: Smålandsstövare) is a breed of dog that originated in Sweden in the 16th century.  Thought to be the oldest scent hound breed native to Sweden, it was first recognized by the Swedish Kennel Club in 1921. They are the smallest of the Swedish hound breeds, and have black and tan markings similar to the Rottweiler. Internationally, it is recognized by a number of kennel clubs and registries including the Fédération Cynologique Internationale and United Kennel Club. It is considered rare, even in its native Sweden where only around sixty puppies are registered each year.",https://upload.wikimedia.org/wikipedia/commons/e/e0/Smaland-St%C3%B6vare.jpg,Smålandsstövare,,[[Sweden]],,{{convert|18|-|21|in|cm}},,"Black and tan, with or without small white markings on the chest and toes.",
479,Small Münsterländer,"The Small Münsterländer (also SM or Kleiner Münsterländer) is a versatile hunting-pointing-retrieving dog breed that reached its current form in the area around Münster, Germany. The Large Münsterländer is from the same area, but was developed from different breeding stock and is not related as the names would suggest. Small Münsterländers bear a resemblance to both spaniels and setters but are more versatile while hunting on land and water. The Small Münsterländer is recognized by the Fédération Cynologique Internationale under Group 7, Section 1.2, Continental Pointing Dogs of Spaniel type, by the American Kennel Club as a Foundation Stock Service breed, and by The Kennel Club and the United Kennel Club as a gun dog. It is related to the Epagneul Français and the Drentsche Patrijshond.",https://upload.wikimedia.org/wikipedia/commons/4/48/Kleiner_M%C3%BCnsterl%C3%A4nder.jpg,Kleiner Münsterländer<br>Munsterlander (Small)<br>Vorstehhund<br>Spion<br>Heidewachtel,Munster,Germany,,,,,
480,Small Greek Domestic Dog,"Kokoni (Greek: Κοκόνι) is the name used for the Greek small domestic dog breed.  They are widely found in Greece, have traditionally been more common in urban areas and were a popular companion of Greeks for centuries.

",https://upload.wikimedia.org/wikipedia/commons/3/33/KokoniPurebredDogsGreeceGreekCreamWhiteAdult.jpg,Kokoni,,Greece,,,,,
481,Smithfield (dog),"The Smithfield, Smithfield Collie or Smithfield Sheepdog is a breed of herding dog. It is a large, strong dog of the collie type. The Smithfield can be black, grey or red with a white collar, or wholly white  and they always possess floppy ears and shaggy hair on the body, face and legs. Two varieties exist, with one having a natural bobtail and the second with a longer tail. It was used for droving cattle in the southeast of England, especially the Smithfield Market in London, and although this breed of dog is believed to be extinct and was never recognised by any of the major kennel clubs before its extinction, dogs of a similar type are shown under the same name in Tasmania, Australia.",https://user-images.githubusercontent.com/24848110/33519396-7e56363c-d79d-11e7-969b-09782f5ccbab.png,,,,,,,,
482,Soft-Coated Wheaten Terrier,"The Soft-coated Wheaten Terrier (Irish: An Brocaire Buí) is a pure breed terrier originating from Ireland. Wheatens typically have one of two coat types: Irish or Heavy (American). The Irish coat is generally silkier and wavier than the Heavy, or American coat, which is thicker and fuller. Wheatens are generally friendly and playful, and tend to get along well with children and other dogs.",https://upload.wikimedia.org/wikipedia/commons/4/41/Australian_Grand_Champion_Dancestar_Zero_O_Seven_%22Bondy%22.jpg,"Irish Soft-Coated Wheaten Terrier<br />''and variant spellings: ""Soft Coated"" and ""Softcoated""''",Wheaten or Wheatie,Ireland,{{convert|14|-|20|kg|lb|abbr|=|on}},45 to 50 cm (18 to 20 inches),"Soft and silky, loosely waved or curly",Wheaten or ginger,10.7 to 12.5 years
483,South Russian Ovcharka,"The South Russian Ovcharka, also known as a Ukrainian Shepherd Dog, or South Russian Sheepdog, is a sheepdog from the Ukrainian steppes between the Black Sea and the Sea of Azov.

This mountain dog is an undemanding dog, which can adapt to most weather conditions.",https://upload.wikimedia.org/wikipedia/commons/2/25/South_Russian_Ovcharka.jpg,Youjnorousskaïa Ovtcharka<br>South Russian Sheepdog<br>Ukrainian Ovcharka<br>Yuzhak<br>South Ukrainian Ovcharka<br>South Russian Shepherd Dog,,"[[Ukraine]], [[Russia]]",,,,,
484,Southern Hound,"The Southern Hound was a breed of dog that existed in Britain probably until sometime in the 19th century, now extinct. The exact date of its extinction is not known; it is likely that it was gradually interbred with other breeds until the genuine Southern Hound bloodline ceased to exist.",https://upload.wikimedia.org/wikipedia/commons/0/06/Southern_Hound.jpg,,,[[United Kingdom of Great Britain and Ireland|Britain]],,,,,
485,Spanish Mastiff,"The mastín Español or Spanish mastiff, is a giant breed of dog, originating in Spain, originally bred to be a guard dog whose specialized purpose is to be a livestock guardian dog protecting flocks (and occasionally herds) from wolves and other predators.  The mountain dog type has a heavier coat.

",https://upload.wikimedia.org/wikipedia/commons/b/be/Mastif_hiszpa%C5%84ski_751.jpg,Spanish mastiff<br/>Mastín español de campo y trabajo<br/>Mastín ganadero<br/>Mastín Leonés<br/>Mastín Extremeño,,[[Spain]],{{convert|40|-|80|kg|lb|abbr|=|on}},80 cm,,,
486,Spanish Water Dog,"The Spanish Water Dog (perro de agua español) breed is used in Spain as a general purpose sheepdog and guard. It is also used sometimes as a gundog, and is skilled at retrieval from water. The SWD has strong genetic links to other water breeds such as the Portuguese Water Dog, the French Barbet and the Irish Water Spaniel.",https://upload.wikimedia.org/wikipedia/commons/9/9f/Perro_agua.jpg,Perro de agua Español,SWD,[[Andalusia]] ([[Spain]]),,,,,
487,Spinone Italiano,"The Spinone Italiano (Italian pronunciation: [spiˈnoːne itaˈljaːno]) is an Italian dog breed. It was originally bred as a versatile gun dog. To this day, the breed is still a capable dog for that purpose. The Spinone is a loyal, friendly and alert dog with a close lying, wiry coat. It is an ancient breed that can be traced back to approximately 500 BC.It is traditionally used for hunting, pointing, and retrieving game (HPR), but, in addition to that purpose, the intelligent and strong Spinone may be practically anything ranging from a  companion to an assistance dog.",https://upload.wikimedia.org/wikipedia/commons/3/32/05042363_Spinone_braun.jpg,Spinone<br>Italian Spinone<br>Italian Griffon<br>Italian Wire-haired Pointer<br>Italian Coarsehaired Pointer,Spinone,[[Italy]],,,,,
488,Sporting Lucas Terrier,The Sporting Lucas Terrier is a small breed of dog of the terrier type. The breed is named for Jocelyn Lucas.,https://upload.wikimedia.org/wikipedia/commons/1/16/LucasTerrier.jpg,,,[[Scotland]],,,,,
489,Stabyhoun,"The Stabyhoun or Stabij is one of the top five rarest dog breeds in the world. It is from Friesland and in particular from the Frisian forest area, a region in the southeast and east of Friesland. The breed has been mentioned in Dutch literature going back to the early 1800s, but has only extended its range from the 1960s outside of Friesland and not until the 2000s did the range officially extend beyond the Netherlands. The name Stabij translates roughly as ""stand by me"" with the last part simply Frisian, meaning dog, which is pronounced ""hoon"". The dog is considered a Dutch national treasure. There are only a few thousand Stabyhouns in existence today worldwide.",https://upload.wikimedia.org/wikipedia/commons/f/f7/Frisianstaby.jpg,Stabij<br/>Beike<br/>Stabijhoun<br/>Fryske Stabij,Staby,The [[Netherlands]],,,,,
490,Staffordshire Bull Terrier,"The Staffordshire Bull Terrier, also known as a ""Stafford"" or ""Staffie"", is a breed of short-haired, small to medium sized dog that was developed in Staffordshire, England and northern parts of Birmingham. The breed first originated by crossing the Bulldog and Black and Tan Terrier, and evolved over time with the infusion of other breeds for refinement of purpose which, in Victorian England prior to the banning of blood sports in 1835, was bull-baiting, and dog fighting, the latter of which continued as a clandestine sport.The Staffie is a descendant of the now extinct Bull and Terrier cross, an ancestry developed in England in the early 19th century.  The Bull Terrier, founded by James Hinks of Birmingham, England, the Staffie, the American Staffordshire Terrier and American Pit Bull Terrier all trace back to the bull-type terrier breeds with the common component being the Bulldog.After the banning of blood sports and pit fighting in 1835, attitudes changed which, over the course of a few centuries, resulted in generations of responsible breeding and further breed refinement of the Staffie as a popular family pet and companion dog. The Staffie's association in early 19th century as a fighting dog made it difficult to gain recognition by the Kennel Club (KC) in the UK but was eventually added to their purebred registry in 1935. Staffies first arrived in North America in the mid to late 1880s but it was not until 1974 that the American Kennel Club (AKC) accepted the Staffordshire Bull Terrier into their purebred registry.

",https://upload.wikimedia.org/wikipedia/commons/6/6a/Staffordshire-bull-terrier-white-2748733.jpg,,Stafford or Staffie,England,{{cvt|29|-|37|lb|kg}},{{cvt|14|-|16|in|cm}},"Smooth, short and close",,Over 12 years
491,Manchester Terrier,"The Manchester Terrier is a breed of dog of the smooth-haired terrier type. It was first bred in the 19th century to control vermin, notably rats, at which it excelled. So efficient at the task was it that it often appeared in rat-baiting pits until that sport, which had effectively been illegal in the UK since 1835, finally died out at the beginning of the 20th century.
The breed is generally healthy, although dogs can be affected by several inheritable genetic disorders. A crash in the number of registered Manchester Terriers following the Second World War has resulted in the Kennel Club categorising it as a vulnerable native breed, in danger of extinction.

",https://upload.wikimedia.org/wikipedia/commons/6/62/Mancherster_Terrier.jpg,,,England,,,,,
492,Standard Schnauzer,"The Standard Schnauzer (Mittelschnauzer) is a dog breed that originated in Germany from at least 14th-15th century, of Schnauzer breed type and progenitor of the Giant Schnauzer and Miniature Schnauzer. Initially it was called Wire-Haired Pinscher, while Schnauzer was adopted in 1879. The literal translation is ""snouter"" from the German word for ""snout"" and means colloquially ""moustache"", or ""whiskered snout"", because of the dog's distinctively bearded snout.Generally classified as a working or utility dog, this versatile breed is robust, squarely built, medium-sized dog with aristocratic bearing. It has been claimed that it was a popular subject of painters Sir Joshua Reynolds, Albrecht Dürer and Rembrandt, but actual proof remains elusive. Standard Schnauzers are either salt-and-pepper or black in color, and are known for exhibiting many of the ""ideal"" traits of any breed. These include high intelligence, agility, alertness, reliability, strength, and endurance. This breed of dog has been very popular in Europe, specifically Germany, where it originated. The breed was first exhibited at a show in Hanover in 1879, and since then has taken top honors in many shows, including the prestigious ""Best in Show"" at Westminster Kennel Club"" in the United States in 1997.

",https://upload.wikimedia.org/wikipedia/commons/a/a1/Emppumenossa.jpg,Mittelschnauzer<br>Schnauzer<br>Wire-Haired Pinscher (obsolete),,[[Germany]],{{convert|35|to|58|lb|abbr|=|on}},{{convert|18|to|20|in|cm|abbr|=|on}},"Harsh and wiry when hand stripped, soft when clippered/scissored","Pepper-and-salt, black",Average 13 to 16 years
493,Stephens Cur,"The Stephens Cur (a.k.a. Stephens' Stock Cur), is a scent hound that belongs to the Cur dog breed. They were originally bred by the Stephens family in southeastern Kentucky. The dogs known as ""Little black dog"" were bred by generations of that family for over a century. In 1970, they were recognized as separate and distinct breed of Cur. The dog is mostly black with white markings, but more than a third white is not permissible. It is good for hunting raccoon and squirrel, but can also be used to bay wild boar. The breed is registered with the United Kennel Club.",https://upload.wikimedia.org/wikipedia/commons/4/4c/Stephens_Cur.jpg,Stephens' Stock Cur<br/>Stephens' Stock Mountain Cur,Little black dog,USA,,,,,
494,Styrian Coarse-haired Hound,"The Styrian Coarse-haired Hound (FCI No. 62), (German: Steirische Rauhhaarbracke) is a breed of medium-sized hound dog originated in the Austrian province of Styria. It is bred as a scenthound, for hunting boar in mountainous terrain. The breed is one of the large Austrian Bracke.

",https://upload.wikimedia.org/wikipedia/commons/1/1b/Steirische_Rauhhaarbracke.jpg,"Steirische Rauhhaarbracke,<br /> Peintinger Bracke, <br />Steirische Rauhhaarige Hochgebirgsbracke, <br>Wirehair Styrian Mountain",,Austria,,,,,
495,Sussex Spaniel,"The Sussex Spaniel is a breed of dog developed in Sussex in southern England. It is a low, compact spaniel and is similar in appearance to the Clumber Spaniel. They can be slow-paced, but can have a clownish and energetic temperament. They suffer from health conditions common to spaniels and some large dogs, as well as a specific range of heart conditions and spinal disc herniation.
First bred in 1795 in Brightling, East Sussex for specific hunting conditions, they nearly became extinct during the Second World War. They are now more popular in the United States than any other country and are recognised by all major kennel clubs. Notably, a Sussex Spaniel named Stump won the best in show in 2009 at the 133rd Westminster Kennel Club.

",https://upload.wikimedia.org/wikipedia/commons/c/c9/Sussex_spaniel_t43.jpg,,Sussex,England,{{convert|35|-|45|lb|kg|abbr|=|on}},{{convert|13|-|15|in|cm|abbr|=|on}} at the [[withers]],,,11–12 years
496,Swedish Lapphund,"The Swedish Lapphund (Swedish: Svensk lapphund) is a breed of dog of the Spitz type from Sweden, one of three Lapphund breeds developed from a type of dog used by the Sami people for herding and guarding their reindeer.
The expression ""the black beauty of Norrland"" is very often attributed to the Swedish lapphund, which is most likely one of Sweden's oldest breeds.",MISSED,,,Sweden,,,,,
497,Swedish Vallhund,"The Swedish Vallhund, also known as the Västgötaspets and Swedish cow dog, is a breed of dog native to Sweden. The breed's name, Vallhund, when translated into English, means herding dog, as the Swedish Vallhund was originally bred as a drover and herder of cows over 1,000 years ago. In 1942, the dog came close to extinction, but careful breeding and publicity by Swedish national Bjorn von Rosen and K. G. Zettersten managed to revive the breed in popularity and save it from its likely end. In 1943, the Swedish Kennel Club recognized the Swedish Vallhund as a breed, and officially categorized the Swedish Vallhund as ""the Västgötaspets"" for Västergötland, the province in which their revival took place. Since then, the breed has been recognized by, and bred in, over ten countries and has gained some popularity.

",https://upload.wikimedia.org/wikipedia/commons/0/03/V%C3%A4stg%C3%B6taspets_hane_5_%C3%A5r.jpg,Swedish cattle dog<br />Swedish Shepherd<br>Västgötaspets,,[[Sweden]],,,,,
498,Tahitian Dog,"The Tahitian Dog (Tahitian: ʻŪrī Mā’ohi, literally translated as 'native dog') is an extinct breed of dog from Tahiti and the Society Islands. Similar to other strains of Polynesian dogs, it was introduced to the Society Islands and Tahiti by the ancestors of the Tahitian (Mā’ohi) people during their migrations to Polynesia. They were an essential part of traditional Tahitian society; their meat was included in Tahitian cuisine and other parts of the dog were used to make tools and ornamental clothing. Dogs were fed a vegetarian diet and served during feasts as a delicacy. European explorers were the first outsiders to observe and record their existence, and they were served to early explorers including Captain James Cook. The Tahitian Dog disappeared as a distinct breed after the introduction of foreign European dogs.",https://upload.wikimedia.org/wikipedia/commons/4/4d/Double_canoes._Tipaerua%2C_1769-71_%28crop_of_dog%29.jpg,"South Sea Dog, Otaheite Dog, Tahitian Dog, Society Islands Dog, {{sfn|Titcomb|Pukui|1969|page|=|47}} Poe Dog",,"[[Tahiti]], [[Society Islands]] ([[French Polynesia]])",,,,,
499,Tahltan Bear Dog,The Tahltan Bear Dog was a breed of dog that is indigenous to Canada.,https://upload.wikimedia.org/wikipedia/commons/d/da/Tahltan_Bear_Dog_sketch2.jpg,Chien d'ours de Tahltan,Tahltan,Nothern Canada,,,,,
500,Taigan,"The Taigan (Kyrgyz: Тайган) also known as Kyrgyzdyn Taighany (Kyrgyzskaya Borzaya Taigan in Russian) is a sighthound breed from Kyrgyzstan, which is not yet recognized by the FCI, but is recognized by a number of kennel clubs on national level.
They have medium-length and slightly curly hair and are similar in shape to Greyhounds.
They are a member of the sighthound family.",https://upload.wikimedia.org/wikipedia/commons/2/2a/Taigan.jpg,Tajgan<br />Kyrgyz Sighthound<br />Kyrgyzskaya Borzaya Taigan,,[[Kyrgyzstan]],,,,,
501,Taiwan Dog,"The Taiwan Dog (Chinese: 台灣犬) is a breed of small or medium dog indigenous to Taiwan. These dogs are also known as the Formosan Mountain Dog, Taiwanese Canis, Taiwanese Native Dog (台灣土狗) or Takasago Dog (高砂犬). They are well-adapted to the uneven and thickly forested terrain of Taiwan, having become a semi-wild breed prior to the arrival of several colonial reigns and foreign powers.  Notwithstanding these adaptations, Formosans retained the potential to be trained and are now used as hunting dogs, guard dogs, stunt dogs, rescue dogs, or simply as companions.  Formosans are classified into one medium type and two small types.
However, now the pureblooded Formosan Mountain Dog is edging closer to extinction, due to limited conservation efforts of the Taiwanese and their government.",https://upload.wikimedia.org/wikipedia/commons/b/b0/Formosan_nina.jpg,"Formosan Mountain Dog ( {{zh|t|=|福爾摩莎犬|labels|=|no}} ), National Dog ( {{zh|t|=|國寶犬|labels|=|no}} ), Takasago Dog ( {{zh|t|=|高砂犬|labels|=|no}} ), Taiwan Canis, Taiwanese Canis",,[[Taiwan]],{{convert|14|-|18|kg|lb|abbr|=|on}},48&ndash;52&nbsp;cm (18&ndash;21&nbsp;in),Smooth and oily,"Black, earthy yellow, or yellowish-brown",10-13 years
502,Talbot (dog),The Talbot was a  type of white hunting dog. It is now extinct and has been credited with being an ancestor of the modern beagle and bloodhound. The term talbot is used in heraldry to refer to a good-mannered hunting dog.,https://upload.wikimedia.org/wikipedia/commons/8/8b/TalbotHound_Talbot_Shrewsbury_Book_1445.png,,,"Uncertain, possibly [[Belgium]] / [[France]] ([[Normandy]]) or [[England]]",,,,,
503,Tamaskan Dog,"Tamaskan dogs are a breed of dog that have been selectively bred to resemble a wolf or wolfdog. The Tamaskan is a cross of several types of sled dogs, including the Siberian Husky and the Alaskan Malamute. Tamaskans are not recognized as a breed by the Fédération Cynologique Internationale but are recognized as a breed by the American Rare Breed Association. Pedigrees are only managed by Tamaskan-specific breeder clubs.

",https://upload.wikimedia.org/wikipedia/commons/8/8d/Tamaskan.jpg,,"Tam, Tamaskan",[[United Kingdom]],{{convert|65|-|95|lb|kg}},{{convert|25|-|33|in|cm}},Thick double coat; dense undercoat & coarse outer coat. Each individual guard hair is [[Agouti (coloration)|agouti]] banded.,"Wolf grey, red grey, black grey",14–15 years (projected)
504,Teddy Roosevelt Terrier,"The Teddy Roosevelt Terrier is a small to medium-sized American hunting terrier. It is lower-set, with shorter legs, and is more muscular with heavier bone density than the related American Rat Terrier. Much diversity exists in the history of the Teddy Roosevelt Terrier breed, and it shares a common early history with the American Rat Terrier, Fox Paulistinha, and Tenterfield Terrier. The Rat Terrier's background is said to stem from the terriers or other dogs that were brought over by early English and other working-class immigrants. Since the breed was a farm, hunting, and utility dog, little to no planned breeding was used  other than breeding dogs with agreeable traits to each other to produce the desired work ethic in the dog. The Feist (dog), Bull Terrier, Smooth Fox Terrier, Manchester Terrier, Whippet, Italian Greyhound, the now extinct English White Terrier, Turnspit Dog, and Wry-legged Terrier all share in the Teddy Roosevelt Terrier's ancestry.  These early ratting terriers were then most likely bred to the Beagle or Beagle crossbred dogs (for increased scenting ability) and other dogs. Maximizing the influences from these various breeds provides the modern Teddy Roosevelt Terrier with a keen sense of awareness and prey drive, an acute sense of smell. and a very high intellect. Although they tend to be aloof with strangers, they are devoted companion dogs with a strong desire to please and be near their owners at all times.
The current UKC standard calls for a Teddy Roosevelt Terrier to be 8–15 in (200–380 mm) in height, with weight proportionate to height. Teddy Roosevelt Terriers weighing as much as 25 lb (11 kg) or as little as 8 lb (3.6 kg) are not uncommon.",https://upload.wikimedia.org/wikipedia/commons/7/73/Teddyterrier.jpg,"Type B, Short-legged Rat Terrier or Bench-legged Feist",,[[United States]],,,,,
505,Telomian,"The Telomian is a breed of dog native to Malaysia. Though rare, it remains the only known Malaysian dog breed to live outside its homeland. Malaysian used to called this dog breed Anjing Kampung which means Village dog in Malay. This dog breed still remains one of the rarest in the world.",https://upload.wikimedia.org/wikipedia/commons/8/89/Telomian.jpg,,,[[Malaysia]],,,,,
506,Tenterfield Terrier,"Developed in Australia, the forebears of the Tenterfield Terrier accompanied British settlers en route to Australia by ship. The forebears of these small dogs had been bred for ratting. This type of dog suited shipboard life, where rats and mice were both a health hazard and a threat to food supplies. Today they are a strong, active, hardy and agile dog, their smooth short coat making them 'easy care' family companions.",https://upload.wikimedia.org/wikipedia/commons/7/77/Tenterfield_Terrier_01.jpg,,,[[Australia]],,,,,
507,Brazilian Terrier,"The Brazilian Terrier is a breed of dog developed in Brazil. It is one of several terriers and one of the two worldwide recognized native breeds of Brazil.

",https://upload.wikimedia.org/wikipedia/commons/9/93/TerrierBrasileiroDaPedraFilosofal4colors.jpg,Fox Paulistinha  <br> Terrier Brasileiro,,[[Brazil]],{{convert|10|kg|lb|0|abbr|=|on}} approximately.,{{convert|35|-|40|cm|in|0|abbr|=|on}},"Short, smooth and fine.",,
508,Tesem,"Tesem (Ancient Egyptian: ṯzm, ) was the Ancient Egyptian name for ""hunting dog"". In popular literature it denotes the prick-eared, leggy dog with a curled tail from the early Egyptian age, but it was also used with reference to the lop-eared ""saluki/sloughi"" type; it was one of several types of dogs in Ancient Egypt, particularly the latter type had an appearance most similar to that of a greyhound.",https://upload.wikimedia.org/wikipedia/commons/4/42/Tesem_couple.png,ṯzm,,Egypt,,,,,
509,Thai Bangkaew Dog,The Thai Bangkaew Dog(Thai: ไทยบางแก้ว) is an Asian dog breed.  It is a medium-sized spitz-type dog.,https://upload.wikimedia.org/wikipedia/commons/d/da/%E0%B8%9A%E0%B8%B2%E0%B8%87%E0%B9%81%E0%B8%81%E0%B9%89%E0%B8%A7.jpg,,,"[[Bang Rakam District|Bang Rakam]], [[Phitsanulok Province|Phitsanulok]], [[Thailand]]",,,,,
510,Thai Ridgeback,"The Thai Ridgeback (Thai: ไทยหลังอาน, RTGS: Thai Lang-An) is a dog recently established as a standardized breed. The breed was formerly unknown outside Thailand, but is gaining notice in the Western world. They are also known as a  Mah Thai Lang Ahn. The Thai Ridgeback is one of only three breeds that has a ridge of hair that runs along its back in the opposite direction to the rest of the coat. The other two are the Rhodesian Ridgeback and the Phu Quoc Ridgeback.

",https://upload.wikimedia.org/wikipedia/commons/d/d6/Thai-Ridgeback.jpg,,,[[Thailand]],,,,,
511,Tibetan Mastiff,"The Tibetan Mastiff (Tibetan: འདོགས་ཁྱི, Chinese: 藏獒; Pinyin: Zàng áo) is a large Tibetan dog breed belonging to the mastiff family. Originating with the nomadic cultures of Tibet, China, Mongolia and Nepal, it is used by local tribes of Tibetans to protect sheep from wolves, leopards, bears, large mustelids, and tigers.",https://upload.wikimedia.org/wikipedia/commons/d/dc/WangdurivoiraTM.jpg,,,[[Tibet]] ([[China]]),,,,,
512,Tibetan Spaniel,"The Tibetan spaniel is a breed of assertive, small, intelligent dogs originating in Tibet. This breed is not a spaniel; in the original meaning of the term; its breeding and role differs from other spaniels and spaniels are gun dogs. The spaniel name may have been given due to its resemblance to the bred-down lapdog versions of the hunting spaniels, such as the Cavalier King Charles spaniel.

",https://upload.wikimedia.org/wikipedia/commons/3/38/Tibetansk_spaniel.jpg,Simkhyi,Tibbie,[[Tibet]] ([[China]]),{{convert|9|to|15|lb|kg|abbr|=|on}},{{convert|10|in|cm|abbr|=|on}},,All dog colours,
513,Tibetan Terrier,"The Tibetan Terrier is a medium-size breed of dog that originated in Tibet. Despite its name, it is not a member of the terrier group. The breed was given its English name by European travelers due to its resemblance to known terrier breeds. The Tibetan name for the breed, Tsang Apso, roughly translates to ""shaggy or bearded (""apso"") dog, from the province of Tsang"". Some old travelers' accounts refer to the dog as Dokhi Apso or ""outdoor"" Apso, indicating a shaggy or bearded working dog which lives outdoors.

",https://upload.wikimedia.org/wikipedia/commons/5/59/Tibet_Terrier_Bennie_%28cropped%29.jpg,"Tsang Apso, Dokhi Apso",,[[Tibet]],,,,,
514,Tornjak,"The Tornjak (pronunciation is ""tornyak""; official original name), also known as Bosnian and Herzegovinian – Croatian Shepherd dog (official English name), is a mountain sheep dog native to Bosnia and Herzegovina and Croatia. It is considered that 11th and 14th-century documents mention the breed. It became almost extinct, but the salvation started in the early 1970s with pure blood breeding since 1978. FCI accepted it on a provisional basis in 2007, and on definitive basis with official valid standard on 7 November 2017, placed in ""Group 2, Section 2 : Molossoid Breeds"", with ""Nr. 355"" in ""Section 2.2"" dedicated to the Mountain Types.",https://upload.wikimedia.org/wikipedia/commons/6/6f/Bosniantornjak.jpg,Bosnian and Herzegovinian - Croatian Shepherd Dog (FCI),,[[Bosnia and Herzegovina]]<br>[[Croatia]],,,,,
515,Tosa (dog),"The Tosa (土佐, also called the Tosa Inu, Tosa-Ken or Japanese Mastiff) is a breed of dog of Japanese origin that is considered rare. It was originally bred in Tosa, Shikoku (present day Kōchi) as a fighting dog and is the only breed still used (legally) in Japanese dog fighting. Ownership is restricted in some countries as a dangerous breed.

",https://upload.wikimedia.org/wikipedia/commons/5/56/BUKADAI_2.jpg,Tosa Inu<br/>Tosa Ken (土佐犬)<br/>Tosa Tōken (土佐闘犬)<br/>Japanese Fighting Dog<br/>Japanese Mastiff<br/>Tosa Fighting Dog<br/>Japanese Tosa,,[[Japan]],,,,,
